date_time,date,time,amt,color,total,time_elapsed,rate
6/13/2024 13:00:00,6/13/2024,1:00 PM,10,red,10,,
6/13/2024 18:24:00,6/13/2024,6:24 PM,30,red,40,5:24:00,5.6
6/13/2024 21:00:00,6/13/2024,9:00 PM,18,red,58,2:36:00,6.9
6/14/2024 2:30:00,6/14/2024,2:30 AM,10,red,68,5:30:00,1.8
6/14/2024 9:00:00,6/14/2024,9:00 AM,20,red,88,6:30:00,3.1
6/14/2024 13:00:00,6/14/2024,1:00 PM,20,pink,108,4:00:00,5.0
6/14/2024 21:00:00,6/14/2024,9:00 PM,35,pink,143,8:00:00,4.4
6/15/2024 7:00:00,6/15/2024,7:00 AM,25,burnt,168,10:00:00,2.5
6/15/2024 11:00:00,6/15/2024,11:00 AM,20,pink,188,4:00:00,5.0
6/15/2024 21:45:00,6/15/2024,9:45 PM,25,pink,213,10:45:00,2.3
6/16/2024 9:45:00,6/16/2024,9:45 AM,18,gold,231,12:00:00,1.5
6/16/2024 16:30:00,6/16/2024,4:30 PM,20,burnt,251,6:45:00,3.0
6/16/2024 21:00:00,6/16/2024,9:00 PM,5,pink,256,4:30:00,1.1
6/17/2024 9:00:00,6/17/2024,9:00 AM,15,gold,271,12:00:00,1.3
6/17/2024 18:00:00,6/17/2024,6:00 PM,20,yellow,291,9:00:00,2.2
6/18/2024 8:30:00,6/18/2024,8:30 AM,20,orange,311,14:30:00,1.4
6/18/2024 20:30:00,6/18/2024,8:30 PM,12,orange,323,12:00:00,1.0
6/19/2024 12:30:00,6/19/2024,12:30 PM,18,orange,341,16:00:00,1.1
6/19/2024 20:30:00,6/19/2024,8:30 PM,8,orange,349,8:00:00,1.0
6/20/2024 10:00:00,6/20/2024,10:00 AM,15,orange,364,13:30:00,1.1
6/21/2024 9:00:00,6/21/2024,9:00 AM,20,orange,384,23:00:00,0.9
6/22/2024 9:00:00,6/22/2024,9:00 AM,20,red,404,24:00:00,0.9
